"ワープアイテム" -> "Warp items"
"会心ダメージ増加" -> "Increase dental damage"
"属性強化 3" -> "Attribute enhancement 3"
"スキルタイプ強化 21" -> "Skill type enhancement 21"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"通常攻撃闇属性" -> "Normal Attack Dark Attribute"
"闇属性強化" -> "Strengthen the dark attribute"
"格闘強化" -> "Fighting enhancement"
"格闘使用可能" -> "Available for fighting"
"付加能力不可 1565" -> "No additional capacity 1565"
"会心ダメージ増加" -> "Increase dental damage"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"会心ダメージ増加" -> "Increase dental damage"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"会心ダメージ増加" -> "Increase dental damage"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"会心ダメージ増加" -> "Increase dental damage"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"会心ダメージ増加" -> "Increase dental damage"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"会心ダメージ増加" -> "Increase dental damage"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"最終ボーナス 20" -> "Final Bonus 20"
"会心ダメージ増加" -> "Increase dental damage"
"属性強化 3" -> "Attribute enhancement 3"
"スキルタイプ強化 21" -> "Skill type enhancement 21"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"通常攻撃炎属性" -> "Normal attack flame attribute"
"炎属性強化" -> "Enhance fire attribute"
"格闘強化" -> "Fighting enhancement"
"格闘使用可能" -> "Available for fighting"
"付加能力不可 2558" -> "No additional capacity 2558"
"最終ボーナス 20" -> "Final Bonus 20"
"会心ダメージ増加" -> "Increase dental damage"
"属性強化 3" -> "Attribute enhancement 3"
"スキルタイプ強化 21" -> "Skill type enhancement 21"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"通常攻撃雷属性" -> "Normal Attack Lightning Attribute"
"雷属性強化" -> "Lightning attribute enhancement"
"格闘強化" -> "Fighting enhancement"
"格闘使用可能" -> "Available for fighting"
"付加能力不可 2549" -> "Additional capacity not allowed 2549"
"最終ボーナス 20" -> "Final Bonus 20"
"会心ダメージ増加" -> "Increase dental damage"
"スキルタイプ強化 21" -> "Skill type enhancement 21"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"格闘強化" -> "Fighting enhancement"
"格闘使用可能" -> "Available for fighting"
"付加能力不可 2622" -> "Additional capacity disabled 2622"
"最終ボーナス 20" -> "Final Bonus 20"
"会心ダメージ増加" -> "Increase dental damage"
"スキルタイプ強化 21" -> "Skill type enhancement 21"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"格闘強化" -> "Fighting enhancement"
"格闘使用可能" -> "Available for fighting"
"付加能力不可 2622" -> "Additional capacity disabled 2622"
"拳を極めた者のレジェンド拳" -> "Legend fist of those who made fists"
"最終ボーナス 40" -> "Final Bonus 40"
"会心ダメージ増加" -> "Increase dental damage"
"命中率 100" -> "Accuracy 100"
"魔法反撃 100" -> "Magic Counterattack 100"
"必中反撃 100" -> "Counter Counter Counter 100"
"反撃強化 500" -> "Counterattacking 500"
"スキルタイプ強化 21" -> "Skill type enhancement 21"
"解説追加" -> "Explanation Add"
"攻撃必中" -> "Attack necessarily"
"会心率30" -> "Conference rate 30"
"アップ" -> "up"
"絶対反撃" -> "Absolute fight"
"反撃ダメージ500" -> "Counterattack Damage 500"
"アップ" -> "up"
"格闘強化200" -> "Fighting enhancement 200"
"格闘使用可能" -> "Available for fighting"
"付加能力不可 1526" -> "No additional ability 1526"
"最終ボーナス 40" -> "Final Bonus 40"
"会心ダメージ増加" -> "Increase dental damage"
"属性強化 9" -> "Attribute enhancement 9"
"スキルタイプ強化 21" -> "Skill type enhancement 21"
"解説追加" -> "Explanation Add"
"絶対会心" -> "Absolute conscience"
"通常攻撃聖属性" -> "Normal Attack St. Attribute"
"聖属性強化150" -> "St. attribute strengthening 150"
"格闘強化150" -> "Fighting enhancement 150"
"格闘使用可能" -> "Available for fighting"
"付加能力不可 1527" -> "No additional capacity 1527"
"最終ボーナス 40" -> "Final Bonus 40"
"会心ダメージ増加" -> "Increase dental damage"
"通常攻撃 3" -> "Normal Attack 3"
"属性強化 10" -> "Attribute enhancement 10"
"スキルタイプ強化 21" -> "Skill type enhancement 21"
"解説追加" -> "Explanation Add"
"会心率30" -> "Conference rate 30"
"アップ" -> "up"
"通常攻撃闇属性" -> "Normal Attack Dark Attribute"
"闇属性強化150" -> "Darkening attribute enhancement 150"
"格闘強化150" -> "Fighting enhancement 150"
"格闘使用可能" -> "Available for fighting"
"通常攻撃「乱れ撃ち」化" -> "Normal attack \"Shuffle shooting\""
"付加能力不可 1565" -> "No additional capacity 1565"
"最終ボーナス 40" -> "Final Bonus 40"
"会心ダメージ増加" -> "Increase dental damage"
"スキルタイプ強化 21" -> "Skill type enhancement 21"
"速攻発動スキルタイプ" -> "Haste Invocation Skill Type"
"速攻発動スキルタイプ" -> "Haste Invocation Skill Type"
"解説追加" -> "Explanation Add"
"会心率50" -> "Conference rate 50"
"アップ" -> "up"
"回避率50" -> "Evasion rate 50"
"アップ" -> "up"
"格闘強化200" -> "Fighting enhancement 200"
"獣技強化200" -> "Beast technique enhancement 200"
"格闘・獣技使用可能" -> "Fighting · beast technique available"
"格闘・獣技速攻発動" -> "Fighting · Beast technique haste invocation"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"付加能力不可 2051" -> "Additional capacity disabled 2051"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"獣技強化" -> "Strengthening animal skill"
"獣技使用可能" -> "Beast technique available"
"付加能力不可 1654" -> "No additional capacity 1654"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"獣技強化" -> "Strengthening animal skill"
"獣技使用可能" -> "Beast technique available"
"付加能力不可 1613" -> "No additional capacity 1613"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"獣技強化" -> "Strengthening animal skill"
"獣技使用可能" -> "Beast technique available"
"付加能力不可 1654" -> "No additional capacity 1654"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"獣技強化" -> "Strengthening animal skill"
"獣技使用可能" -> "Beast technique available"
"付加能力不可 1654" -> "No additional capacity 1654"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"付加能力不可 2798" -> "No additional capacity 2798"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"獣技強化" -> "Strengthening animal skill"
"獣技使用可能" -> "Beast technique available"
"付加能力不可 2654" -> "No additional capacity 2654"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"獣技強化" -> "Strengthening animal skill"
"獣技使用可能" -> "Beast technique available"
"付加能力不可 2654" -> "No additional capacity 2654"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"獣技強化" -> "Strengthening animal skill"
"獣技使用可能" -> "Beast technique available"
"付加能力不可 2654" -> "No additional capacity 2654"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"獣技強化" -> "Strengthening animal skill"
"獣技使用可能" -> "Beast technique available"
"付加能力不可 2654" -> "No additional capacity 2654"
"最終ボーナス 40" -> "Final Bonus 40"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"スキル強化 2686" -> "Skill reinforcement 2686"
"解説追加" -> "Explanation Add"
"会心率50" -> "Conference rate 50"
"アップ" -> "up"
"獣技強化150" -> "Improvement of animal skill 150"
"牙を使用する獣技スキル150" -> "Veterinary skill using fangs 150"
"強化" -> "Enhancement"
"獣技使用可能" -> "Beast technique available"
"最終ボーナス 40" -> "Final Bonus 40"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"解説追加" -> "Explanation Add"
"会心率50" -> "Conference rate 50"
"アップ" -> "up"
"獣技強化200" -> "Beast technique enhancement 200"
"獣技使用可能" -> "Beast technique available"
"「アルティメットチャージ」使用可能" -> "\"Ultimate charge\" available"
"超竜の雄叫びを形にしたレジェンド牙" -> "The legendary fang that shaped the superior dragon's shout"
"最終ボーナス 40" -> "Final Bonus 40"
"スキルタイプステート敵付加 53" -> "Skill Type State Enemy Attachment 53"
"スキルタイプ強化 53" -> "Skill type reinforcement 53"
"解説追加" -> "Explanation Add"
"会心率30" -> "Conference rate 30"
"アップ" -> "up"
"ターン回復30" -> "Turn recovery 30"
"獣技強化200" -> "Beast technique enhancement 200"
"ブレス強化200" -> "Breath reinforcement 200"
"獣技・ブレス使用可能" -> "Beast skill / breath usable"
"付加能力不可 1532" -> "No additional capacity 1532"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"付加能力不可 1585" -> "No additional capacity 1585"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"付加能力不可 2039" -> "Additional capacity disabled 2039"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"斧技強化" -> "Enhancement of ax technique"
"斧技使用可能" -> "Ax technique available"
"付加能力不可 1578" -> "Additional capacity not allowed 1578"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"斧技強化" -> "Enhancement of ax technique"
"斧技使用可能" -> "Ax technique available"
"付加能力不可 1612" -> "No additional capacity 1612"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"斧技強化" -> "Enhancement of ax technique"
"斧技使用可能" -> "Ax technique available"
"付加能力不可 1612" -> "No additional capacity 1612"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"斧技強化" -> "Enhancement of ax technique"
"斧技使用可能" -> "Ax technique available"
"付加能力不可 1612" -> "No additional capacity 1612"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"付加能力不可 2525" -> "No additional capacity 2525"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"属性強化 3" -> "Attribute enhancement 3"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"通常攻撃炎属性" -> "Normal attack flame attribute"
"炎属性強化" -> "Enhance fire attribute"
"付加能力不可 2582" -> "No additional capacity 2582"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"付加能力不可 2612" -> "No additional ability 2612"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"斧技強化" -> "Enhancement of ax technique"
"斧技使用可能" -> "Ax technique available"
"付加能力不可 2612" -> "No additional ability 2612"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"斧技強化" -> "Enhancement of ax technique"
"斧技使用可能" -> "Ax technique available"
"付加能力不可 2612" -> "No additional ability 2612"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"斧技強化" -> "Enhancement of ax technique"
"斧技使用可能" -> "Ax technique available"
"付加能力不可 2612" -> "No additional ability 2612"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"属性強化 3" -> "Attribute enhancement 3"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率25" -> "Conference rate 25"
"アップ" -> "up"
"通常攻撃炎属性" -> "Normal attack flame attribute"
"炎属性強化" -> "Enhance fire attribute"
"斧技強化" -> "Enhancement of ax technique"
"斧技使用可能" -> "Ax technique available"
"付加能力不可 2558" -> "No additional capacity 2558"
"最終ボーナス 40" -> "Final Bonus 40"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"会心ダメージ増加" -> "Increase dental damage"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"絶対会心" -> "Absolute conscience"
"会心ダメージ200" -> "Demention damage 200"
"アップ" -> "up"
"斧技強化200" -> "Enhancement of ax technique 200"
"斧技使用可能" -> "Ax technique available"
"付加能力不可 1527" -> "No additional capacity 1527"
"最終ボーナス 40" -> "Final Bonus 40"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"属性強化 3" -> "Attribute enhancement 3"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率30" -> "Conference rate 30"
"アップ" -> "up"
"ターン回復30" -> "Turn recovery 30"
"通常攻撃炎・氷・雷属性" -> "Normal attack flame · ice · lightning attribute"
"炎・氷・雷属性強化150" -> "Flame, ice, lightning attribute enhancement 150"
"斧技強化150" -> "Enhancement of ax technique 150"
"斧技使用可能" -> "Ax technique available"
"付加能力不可 1532" -> "No additional capacity 1532"
"最終ボーナス 40" -> "Final Bonus 40"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率30" -> "Conference rate 30"
"アップ" -> "up"
"斧技強化200" -> "Enhancement of ax technique 200"
"斧技使用可能" -> "Ax technique available"
"「アルティメットチャージ」使用可能" -> "\"Ultimate charge\" available"
"荒々しい牛神のためのレジェンド斧" -> "Legend ax for rough cow God"
"最終ボーナス 40" -> "Final Bonus 40"
"スキルタイプステート敵付加 11" -> "Skill Type State Enemy Attack 11"
"ステート特攻通常攻撃 308" -> "State Attack normally attack 308"
"ステート特攻スキルタイプ 11" -> "State Special Feature Skill Type 11"
"スキル強化 1100" -> "Skill enhancement 1100"
"スキルタイプ強化 11" -> "Skill type reinforcement 11"
"解説追加" -> "Explanation Add"
"会心率30" -> "Conference rate 30"
"アップ" -> "up"
"斧技強化150" -> "Enhancement of ax technique 150"
"斧技使用可能" -> "Ax technique available"
"ミノタウロスの斧技スキル150" -> "Minotaur 's ax technique skill 150"
"強化" -> "Enhancement"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 12" -> "Skill Type State Enemy Attack 12"
"ステート特攻通常攻撃 14" -> "State Attack Normal Attack 14"
"ステート特攻スキルタイプ 12" -> "State Special Feature Skill Type 12"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 12" -> "Skill Type State Enemy Attack 12"
"ステート特攻通常攻撃 14" -> "State Attack Normal Attack 14"
"ステート特攻スキルタイプ 12" -> "State Special Feature Skill Type 12"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 12" -> "Skill Type State Enemy Attack 12"
"ステート特攻通常攻撃 14" -> "State Attack Normal Attack 14"
"ステート特攻スキルタイプ 12" -> "State Special Feature Skill Type 12"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 12" -> "Skill Type State Enemy Attack 12"
"ステート特攻通常攻撃 14" -> "State Attack Normal Attack 14"
"ステート特攻スキルタイプ 12" -> "State Special Feature Skill Type 12"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 12" -> "Skill Type State Enemy Attack 12"
"ステート特攻通常攻撃 14" -> "State Attack Normal Attack 14"
"ステート特攻スキルタイプ 12" -> "State Special Feature Skill Type 12"
"もの" -> "thing"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"スキルタイプステート敵付加 12" -> "Skill Type State Enemy Attack 12"
"ステート特攻通常攻撃 14" -> "State Attack Normal Attack 14"
"ステート特攻スキルタイプ 12" -> "State Special Feature Skill Type 12"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 12" -> "Skill Type State Enemy Attack 12"
"ステート特攻通常攻撃 14" -> "State Attack Normal Attack 14"
"ステート特攻スキルタイプ 12" -> "State Special Feature Skill Type 12"
"スキルタイプ強化 12" -> "Skill type reinforcement 12"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"棍技強化" -> "Strengthening of the performance"
"棍技使用可能" -> "Can be used"
"付加能力不可 1613" -> "No additional capacity 1613"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 12" -> "Skill Type State Enemy Attack 12"
"ステート特攻通常攻撃 14" -> "State Attack Normal Attack 14"
"ステート特攻スキルタイプ 12" -> "State Special Feature Skill Type 12"
"スキルタイプ強化 12" -> "Skill type reinforcement 12"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"棍技強化" -> "Strengthening of the performance"
"棍技使用可能" -> "Can be used"
"付加能力不可 1613" -> "No additional capacity 1613"
"風棍" -> "A canteen"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 12" -> "Skill Type State Enemy Attack 12"
"ステート特攻通常攻撃 14" -> "State Attack Normal Attack 14"
"ステート特攻スキルタイプ 12" -> "State Special Feature Skill Type 12"
"属性強化 6" -> "Attribute enhancement 6"
"スキルタイプ強化 12" -> "Skill type reinforcement 12"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"通常攻撃風属性" -> "Normal Attack Wind Attribute"
"風属性強化" -> "Wind attribute enhancement"
"棍技強化" -> "Strengthening of the performance"
"棍技使用可能" -> "Can be used"
"付加能力不可 1561" -> "No additional capacity 1561"
"最終ボーナス 20" -> "Final Bonus 20"
"スキルタイプステート敵付加 12" -> "Skill Type State Enemy Attack 12"
"ステート特攻通常攻撃 14" -> "State Attack Normal Attack 14"
"ステート特攻スキルタイプ 12" -> "State Special Feature Skill Type 12"
"属性強化 7" -> "Attribute enhancement 7"
"スキルタイプ強化 12" -> "Skill type reinforcement 12"
"解説追加" -> "Explanation Add"
"会心率15" -> "Conference rate 15"
"アップ" -> "up"
"通常攻撃土属性" -> "Normal attack attribute"
"土属性強化" -> "Improved earth attribute"
"棍技強化" -> "Strengthening of the performance"
"棍技使用可能" -> "Can be used"
"付加能力不可 1562" -> "No additional capacity 1562"
